Test Number,Target Shelf Probability,Target Shelf Rank,Missing Good Weight,Target Shelf Weight,Target Shelf Goods Count,Total Shelves,Target Shelf Std Dev,Min Weight,Max Weight,Target Shelf All Std Dev
1,1.0,1,22.243682793885537,8.24793727941585,41,91,1.1920611895733253,2.22250782377809,27.945654208229797,2.0391246779602774
2,1.0,1,47.82668883995603,22.811381658383063,27,39,2.8540483853141754,10.80313701860644,68.37333830796567,4.4204517433686235
3,0.9999999999999697,1,5.472769152793721,5.472769152793721,34,24,0.7840038818927468,5.342966166914868,48.742713262655,0.07400863581314807
4,1.0,1,9.011660652711283,5.24415700814577,29,55,0.7520170882352877,4.05529075898754,31.410893928105477,0.6539110468529505
5,0.999999977610676,1,38.778691079587595,25.766694510728808,71,78,6.180335304414914,4.009557031878271,63.003394709763704,1.5417086860392657
6,1.0,1,45.12605217535325,83.90533633678915,11,15,3.445051044206738,17.6843036361497,93.50285220748891,10.042138078219658
7,0.9999999999997337,1,54.24062751836289,31.302728843129177,44,45,5.862721905815253,9.315624520269996,91.34295397716464,3.250641817539021
8,1.0,1,44.5460083794746,44.5460083794746,26,27,3.7504547496065492,3.502423631818957,49.95770561685811,0.37369827481589907
9,0.9999999666758155,1,12.424906572841156,18.394109905649923,13,51,2.129461618903824,4.632145521184054,20.51833589376677,1.5389228675539186
10,0.9689233937097618,1,11.338954089831889,60.65123177536728,35,51,4.616464782966337,6.81736879647987,62.25750732532311,7.944062448628822
11,1.0,1,29.86538691313324,13.968971935261209,38,88,1.8415729422562424,1.6471352893825761,33.826338432291934,2.4164341035340615
12,0.999785013333778,1,7.083387544648868,10.248587133809105,38,77,1.6597640750340075,4.104832647221857,20.052835443352084,0.49592364333446426
13,1.0,1,74.76637585989991,18.35036318686586,36,12,3.289332878805053,9.376801155829776,75.90179319975704,9.043144347660895
14,0.9979664721292026,1,8.164798309821801,16.48793341930794,34,61,2.251740576725255,5.379270102329821,38.166979550201226,1.3537426251059947
15,0.9999998716539049,1,4.494376250185295,12.920405498677114,13,34,0.843512521506679,4.214515020173997,23.211784171953532,2.0734754595847527
16,0.99999997594556,1,81.07897995686596,89.57767770322539,32,49,14.228002994007158,4.1286645506882165,91.90883428225666,2.0564565811356723
17,1.0,1,60.084865381049546,14.352901695997335,69,17,2.652571237240759,5.131138244388777,86.30252429157636,5.4308276195108975
